time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775504751.2269309,,,1.3053,0.3661,9.8955,-0.0040,-0.0612,-0.0084
1775504751.2271209,,,1.2132,0.3482,9.8979,-0.0021,-0.0606,-0.0096
1775504751.2280772,,,1.2742,0.3446,9.9015,0.0014,-0.0619,-0.0105
1775504751.2836611,,,1.2933,0.3661,9.8955,0.0034,-0.0632,-0.0111
1775504751.284872,,,1.2814,0.3601,9.9015,0.0066,-0.0617,-0.0125
1775504751.313865,,,1.2802,0.3613,9.9027,0.0063,-0.0611,-0.0133
1775504751.315833,,,1.2861,0.3494,9.8931,0.0060,-0.0594,-0.0137
1775504751.3160572,,,1.2885,0.3362,9.8704,0.0053,-0.0582,-0.0140
1775504751.345911,,,1.2550,0.3446,9.8991,0.0069,-0.0580,-0.0150
1775504751.4027379,,,1.2550,0.3362,9.9111,0.0089,-0.0611,-0.0153
1775504751.404587,,,1.2622,0.3529,9.9170,0.0118,-0.0617,-0.0150
1775504751.404808,,,1.2826,0.3206,9.8883,0.0156,-0.0631,-0.0137
1775504751.40484,,,1.2586,0.3505,9.9087,0.0186,-0.0622,-0.0156
1775504751.405888,,,1.2479,0.3601,9.9099,0.0205,-0.0651,-0.0142
1775504751.408918,,,1.2766,0.3529,9.8979,0.0203,-0.0649,-0.0140
1775504751.409125,,,1.2897,0.3422,9.8764,0.0197,-0.0644,-0.0144
1775504751.4636748,,,1.2969,0.3553,9.8907,0.0206,-0.0625,-0.0150
1775504751.465696,,,1.2670,0.3374,9.8728,0.0206,-0.0615,-0.0147
1775504751.495104,,,1.3089,0.3625,9.8991,0.0208,-0.0603,-0.0163
1775504751.495371,,,1.2742,0.3649,9.9039,0.0200,-0.0614,-0.0163
1775504751.495404,,,1.2849,0.3697,9.9003,0.0194,-0.0597,-0.0160
1775504751.522707,,,1.2969,0.3517,9.8871,0.0180,-0.0588,-0.0157
1775504751.5827441,,,1.2861,0.3769,9.9135,0.0194,-0.0580,-0.0165
1775504751.5844429,,,1.2885,0.3733,9.8991,0.0157,-0.0577,-0.0163
1775504751.5846999,,,1.3113,0.3625,9.8680,0.0131,-0.0576,-0.0159
1775504751.584741,,,1.3388,0.3721,9.8608,0.0105,-0.0550,-0.0170
1775504751.612523,,,1.2897,0.3362,9.8800,0.0017,-0.0498,-0.0179
1775504751.614228,,,1.2730,0.3242,9.9039,0.0018,-0.0490,-0.0189
1775504751.6143591,,,1.1904,0.2835,9.8895,0.0166,-0.0544,-0.0189
1775504751.6143749,,,1.2431,0.3362,9.9099,0.0252,-0.0589,-0.0183
1775504751.615871,,,1.2742,0.3565,9.8967,0.0331,-0.0635,-0.0171
1775504751.672918,,,1.2897,0.3601,9.8979,0.0325,-0.0634,-0.0170
1775504751.673856,,,1.2598,0.3470,9.8871,0.0324,-0.0644,-0.0176
1775504751.732959,,,1.2742,0.3637,9.8943,0.0365,-0.0634,-0.0176
1775504751.734686,,,1.2598,0.3577,9.8859,0.0371,-0.0644,-0.0183
1775504751.734993,,,1.2826,0.3673,9.8967,0.0374,-0.0661,-0.0171
1775504751.735033,,,1.2778,0.3900,9.9194,0.0357,-0.0643,-0.0188
1775504751.7359161,,,1.2766,0.3781,9.9039,0.0360,-0.0669,-0.0170
1775504751.738091,,,1.2981,0.3757,9.8907,0.0425,-0.0683,-0.0160
1775504751.738312,,,1.2933,0.3876,9.8764,0.0438,-0.0698,-0.0157
1775504751.824072,,,1.2790,0.4223,9.9206,0.0370,-0.0660,-0.0153
1775504751.826379,,,1.2814,0.3996,9.9135,0.0344,-0.0678,-0.0153
1775504751.826756,,,1.2502,0.4199,9.9266,0.0394,-0.0736,-0.0116
1775504751.826797,,,1.3125,0.3793,9.8788,0.0443,-0.0765,-0.0102
1775504751.8270662,,,1.2897,0.4020,9.8859,0.0487,-0.0759,-0.0115
1775504751.827204,,,1.2981,0.4235,9.8847,0.0440,-0.0776,-0.0104
1775504751.827461,,,1.3208,0.4427,9.8704,0.0408,-0.0771,-0.0095
1775504751.9137611,,,1.3352,0.4175,9.8955,0.0353,-0.0735,-0.0082
1775504751.914752,,,1.3496,0.4391,9.8907,0.0341,-0.0730,-0.0098
1775504751.943278,,,1.3591,0.4475,9.8859,0.0243,-0.0670,-0.0113
1775504751.94509,,,1.3208,0.4283,9.8955,0.0217,-0.0594,-0.0147
1775504751.94541,,,1.2610,0.4175,9.8979,0.0215,-0.0586,-0.0145
1775504751.94545,,,1.2945,0.4092,9.9063,0.0215,-0.0576,-0.0139
1775504751.945672,,,1.3029,0.4008,9.8943,0.0249,-0.0596,-0.0139
1775504751.972521,,,1.2897,0.4283,9.9015,0.0278,-0.0596,-0.0127
1775504752.033738,,,1.3053,0.4199,9.8824,0.0276,-0.0620,-0.0118
1775504752.034812,,,1.3280,0.4271,9.8632,0.0279,-0.0617,-0.0115
1775504752.034979,,,1.3017,0.4223,9.8919,0.0276,-0.0606,-0.0147
1775504752.0350761,,,1.2718,0.4546,9.9147,0.0295,-0.0603,-0.0150
1775504752.063252,,,1.3017,0.3996,9.8788,0.0290,-0.0684,-0.0101
1775504752.065971,,,1.2694,0.4223,9.8835,0.0318,-0.0693,-0.0099
1775504752.094383,,,1.3424,0.4140,9.8716,0.0344,-0.0718,-0.0099
1775504752.0947042,,,1.3364,0.4570,9.8740,0.0301,-0.0701,-0.0095
1775504752.0947452,,,1.3232,0.4283,9.8764,0.0283,-0.0699,-0.0092
1775504752.095985,,,1.3256,0.4140,9.8716,0.0244,-0.0689,-0.0090
1775504752.0961971,,,1.2861,0.4522,9.8979,0.0264,-0.0698,-0.0101
1775504752.152884,,,1.3388,0.4391,9.8895,0.0258,-0.0728,-0.0061
1775504752.154049,,,1.3161,0.4690,9.8919,0.0252,-0.0725,-0.0063
1775504752.182729,,,1.3256,0.4594,9.8931,0.0212,-0.0735,-0.0055
